text,intent,language
"What is my attendance?",VIEW_OWN_ATTENDANCE,en
"Show my attendance percentage",VIEW_OWN_ATTENDANCE,en
"How many days have I attended?",VIEW_OWN_ATTENDANCE,en
"Check my academic attendance",VIEW_OWN_ATTENDANCE,en
"What is my attendance rate today?",VIEW_OWN_ATTENDANCE,en
"How much attendance do I have?",VIEW_OWN_ATTENDANCE,en
"Can I see my attendance status?",VIEW_OWN_ATTENDANCE,en
"Meri attendance kitni hai?",VIEW_OWN_ATTENDANCE,hi
"Mujhe apni attendance dekhni hai",VIEW_OWN_ATTENDANCE,hi
"Mera attendance status batao",VIEW_OWN_ATTENDANCE,hi
"My attendance details please",VIEW_OWN_ATTENDANCE,en
"How much attendance does my child have?",VIEW_CHILD_ATTENDANCE,en
"What is Rahul's attendance?",VIEW_CHILD_ATTENDANCE,en
"Check my child's attendance",VIEW_CHILD_ATTENDANCE,en
"Show my son's attendance record",VIEW_CHILD_ATTENDANCE,en
"Show my daughter's attendance percentage",VIEW_CHILD_ATTENDANCE,en
"Mere bete Rahul ki attendance kitni hai?",VIEW_CHILD_ATTENDANCE,hi
"Mere bachhe ki attendance batao",VIEW_CHILD_ATTENDANCE,hi
"Rahul ki attendance check karo",VIEW_CHILD_ATTENDANCE,hi
"Please Rahul ki attendance bata do",VIEW_CHILD_ATTENDANCE,hi
"What is Ananya's attendance rate?",VIEW_CHILD_ATTENDANCE,en
"How is my child doing in attendance?",VIEW_CHILD_ATTENDANCE,en
"Mark Rahul absent today.",MARK_ATTENDANCE,en
"Mark Rahul present for Mathematics.",MARK_ATTENDANCE,en
"Mark student absent",MARK_ATTENDANCE,en
"Mark attendance as absent",MARK_ATTENDANCE,en
"Rahul ko aaj absent mark karo.",MARK_ATTENDANCE,hi
"Rahul ki attendance present lagao",MARK_ATTENDANCE,hi
"Mark Ananya absent today for Science",MARK_ATTENDANCE,en
"Set status to ABSENT for student S101",MARK_ATTENDANCE,en
"Record attendance as PRESENT for Class 10-A",MARK_ATTENDANCE,en
"Attendance update: mark absent",MARK_ATTENDANCE,en
"Absent mark kar do",MARK_ATTENDANCE,hi
"What is the overall school attendance?",VIEW_SCHOOL_ANALYTICS,en
"Show overall school attendance stats",VIEW_SCHOOL_ANALYTICS,en
"What is total school attendance rate?",VIEW_SCHOOL_ANALYTICS,en
"Mujhe overall attendance dekhni hai",VIEW_SCHOOL_ANALYTICS,hi
"Pura school attendance percentage batao",VIEW_SCHOOL_ANALYTICS,hi
"School wide analytics summary",VIEW_SCHOOL_ANALYTICS,en
"Give me overall attendance for this month",VIEW_SCHOOL_ANALYTICS,en
"Total student present today in school",VIEW_SCHOOL_ANALYTICS,en
"School attendance KPI dashboard",VIEW_SCHOOL_ANALYTICS,en
"Executive attendance report",VIEW_SCHOOL_ANALYTICS,en
"What is Grade 10 attendance?",VIEW_CLASS_ANALYTICS,en
"Show Class 10-A attendance rate",VIEW_CLASS_ANALYTICS,en
"Class 9-B attendance statistics",VIEW_CLASS_ANALYTICS,en
"Class wise attendance breakdown",VIEW_CLASS_ANALYTICS,en
"10-A ki attendance kitni hai",VIEW_CLASS_ANALYTICS,hi
"Grade 10-B performance",VIEW_CLASS_ANALYTICS,en
"Which class has lowest attendance?",VIEW_CLASS_ANALYTICS,en
"Class 10 statistics report",VIEW_CLASS_ANALYTICS,en
"I want to talk to my child's teacher.",CONTACT_TEACHER,en
"Schedule a meeting with class teacher",CONTACT_TEACHER,en
"Teacher ko call request bhej do",CONTACT_TEACHER,hi
"Mujhe Sunita teacher se baat karni hai",CONTACT_TEACHER,hi
"Contact class teacher Sunita Verma",CONTACT_TEACHER,en
"Request a call from Math teacher",CONTACT_TEACHER,en
"Talk to teacher",CONTACT_TEACHER,en
"Submit call request to teacher",CONTACT_TEACHER,en
"I want to contact school management",CONTACT_MANAGEMENT,en
"Schedule call with Principal",CONTACT_MANAGEMENT,en
"Principal se baat karni hai",CONTACT_MANAGEMENT,hi
"Management contact request",CONTACT_MANAGEMENT,en
"Talk to school admin",CONTACT_MANAGEMENT,en
"Connect me with management",CONTACT_MANAGEMENT,en
"Hi",GREETING,en
"Hello",GREETING,en
"Namaste",GREETING,hi
"Good morning",GREETING,en
"Hey there",GREETING,en
"Help",HELP,en
"What can you do?",HELP,en
"How to use Parth Assistant?",HELP,en
"Madad chahiye",HELP,hi
"What about last month?",VIEW_RECENT_ATTENDANCE,en
"Show recent attendance logs",VIEW_RECENT_ATTENDANCE,en
"Pichle mahine ki attendance",VIEW_RECENT_ATTENDANCE,hi
"Recent daily logs",VIEW_RECENT_ATTENDANCE,en
"Yesterday's attendance",VIEW_RECENT_ATTENDANCE,en
